Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2012-01-03,5.954181671142578,6.01837763805978,5.879286121313747,5.884635912769562,45709900
2012-01-04,6.0451273918151855,6.168169560789464,5.922084712656603,5.964882033185423,79725200
2012-01-05,6.200265884399414,6.221664538030944,6.01302728248542,6.061174380702399,67877500
2012-01-06,6.264462471008301,6.312609574034363,6.162818983652099,6.280511335288923,59840700
2012-01-09,6.312610626220703,6.392855471183226,6.2591137227895,6.328659493176351,53981500
2012-01-10,6.312610626220703,6.446352374614429,6.221666196498227,6.419603922898828,121750600
2012-01-11,6.457050323486328,6.515897009038345,6.232364184541269,6.280511287198666,63806000
2012-01-12,6.494497299194336,6.515895951325779,6.360755595826789,6.505196370168002,48687700
2012-01-13,6.440999984741211,6.462398635447299,6.334006731210775,6.424951124257665,46366700
2012-01-17,6.43030309677124,6.55869504458092,6.398204854726695,6.526596802536375,44398400
2012-01-18,6.601490497589111,6.6175393589902995,6.419601701095288,6.435650562496477,47102700
2012-01-19,6.745932102203369,6.804778784902495,6.6496384117410905,6.676386347312509,70894200
2012-01-20,6.735233306884766,6.761981753739933,6.660337757727135,6.71383465143747,43705700
2012-01-23,6.772678375244141,6.868972544998855,6.713832221607373,6.788727233475258,49379700
2012-01-24,6.858273983001709,6.87967263387753,6.665686125119318,6.719183007400911,45768400
2012-01-25,6.917121410369873,6.943869344245423,6.794078771768978,6.8475756598883475,54021600
2012-01-26,6.842226505279541,6.981318019176332,6.772680748331145,6.970618436483879,75470700
2012-01-27,6.557581424713135,6.729442526116671,6.33201347302775,6.423314811195,142155300
2012-01-30,6.600546836853027,6.681106601758826,6.44479758243172,6.477021795705936,57752600
2012-01-31,6.670365333557129,6.718701395887996,6.5522105714357295,6.69721875842833,46412100
2012-02-01,6.62202787399292,6.8475957758183155,6.600545241066043,6.836854203261693,71669000
2012-02-02,6.5844340324401855,6.675735359272982,6.552209823834203,6.65962299887678,48347600
2012-02-03,6.869078636169434,6.895932056263696,6.654252299788104,6.69721756706437,78851200
2012-02-06,6.960382461547852,6.981865102915514,6.826115824953323,6.901305325833425,46363300
2012-02-07,6.917416095733643,6.965752159289414,6.890562670181938,6.944269521285348,39413500
2012-02-08,6.895933151245117,6.960381062392977,6.87445051419583,6.933527638034751,35352500
2012-02-09,6.815371513366699,6.928155463336663,6.8046304530862285,6.92278518928961,52290500
2012-02-10,6.681105136871338,6.799259876721735,6.643510656449732,6.724070915878523,52505500
2012-02-13,6.7348127365112305,6.842225915684767,6.71870088768181,6.842225915684767,34474400
2012-02-14,6.702588081359863,6.756294923471679,6.627399117027006,6.691847020249343,39627900
2012-02-15,6.648881435394287,6.750923815932689,6.622028015614798,6.697217488560091,38174800
2012-02-16,6.842226505279541,6.858338867683804,6.648882766106743,6.648882766106743,49164400
